,cluster_id,latitude,longitude,total_duration_time,place_id,place_types,place_address,place_name
23,23,38.029583,-78.504491,0 days 05:45:28.833000,ChIJQ8BkdCSHs4kRKw_x_YWvu6Q,"['point_of_interest', 'establishment']","600 Brandon Ave, Charlottesville, VA 22903, USA",Bond House
24,24,38.027085,-78.5116,0 days 04:42:06.128000,ChIJx0Iual6Gs4kR6BbZR6dGRY4,"['apartment_complex', 'apartment_building', 'point_of_interest', 'establishment']","1904 Jefferson Park Ave # 23, Charlottesville, VA 22903, USA",Shamrock Corporation
25,25,38.03482,-78.515183,0 days 00:20:04.251000,ChIJHbPSh1mGs4kRooYiTnOt7nU,"['cafeteria', 'point_of_interest', 'establishment']","525 McCormick Rd, Charlottesville, VA 22904, USA",University of Virginia Observatory Hill Dining Room
26,26,38.037998,-78.491035,0 days 02:10:50.724000,ChIJD2LftRiHs4kRkt32IZrxrHU,"['food_court', 'market', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']","946 Grady Ave, Charlottesville, VA 22903, USA",Dairy Market Charlottesville
27,27,39.082826,-76.888902,0 days 01:04:04.628000,ChIJ27SAcO7dt4kRphht4S8u0_8,"['fast_food_restaurant', 'candy_store', 'sandwich_shop', 'convenience_store', 'breakfast_restaurant', 'coffee_shop', 'gas_station', 'cafe', 'confectionery', 'food_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']","14910 Silver Trl Ln, Laurel, MD 20707, USA",Wawa
28,28,39.951501,-75.191016,1 days 07:46:31.087000,ChIJwcw7f1rGxokRlP7WsqKm6gk,"['university', 'point_of_interest', 'establishment']","Philadelphia, PA 19104, USA",University of Pennsylvania
29,29,39.951702,-75.186531,0 days 12:09:06.524000,ChIJKSpHEkXGxokRJ4RiuNITiJg,"['arena', 'ice_skating_rink', 'sports_complex', 'event_venue', 'sports_activity_location', 'point_of_interest', 'establishment']","3130 Walnut St, Philadelphia, PA 19104, USA",Class of 1923 Arena
30,30,39.976278,-75.1811975,0 days 16:33:33.623000,ChIJU2HKLrnHxokRGZir2CWEguU,"['fire_station', 'government_office', 'point_of_interest', 'establishment']","1301 N 28th St, Philadelphia, PA 19121, USA",Engine 34
31,31,38.064877,-78.492874,0 days 01:01:39.928000,ChIJ_aRn5MGHs4kRuuNCKBnXk-w,"['movie_theater', 'point_of_interest', 'establishment']","1954 Swanson Dr, Charlottesville, VA 22901, USA",Regal Stonefield
32,33,38.856365,-77.3157895,0 days 02:48:39.762000,ChIJqTZV_8FOtokRAR5R1JcIues,"['hair_salon', 'beauty_salon', 'hair_care', 'point_of_interest', 'establishment']","10770 Fairfax Blvd, Fairfax, VA 22030, USA",Hair Story
33,34,38.85712,-77.393327,0 days 01:12:18.103000,ChIJU6k5F5FFtokRwPFDLIIBNJI,"['shopping_mall', 'point_of_interest', 'establishment']","Fair Lakes Shopping Center, Fairfax, VA 22033, USA",Fair Lakes Shopping Center
34,35,38.854505,-77.396306,0 days 00:35:48.740000,ChIJmw3Qq5ZFtokR110Yscnc6hA,"['department_store', 'hardware_store', 'bakery', 'electronics_store', 'furniture_store', 'home_improvement_store', 'grocery_store', 'food_store', 'sporting_goods_store', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']","13059 Fair Lakes Pkwy, Fairfax, VA 22033, USA",Walmart Supercenter
35,36,38.848666,-77.27269,0 days 06:00:07.343000,ChIJLQ3NBz1MtokRNqiKVsmlB6Y,"['ice_skating_rink', 'sports_complex', 'sports_activity_location', 'sporting_goods_store', 'point_of_interest', 'store', 'establishment']","3779 Pickett Road, Fairfax, VA 22031, USA",Fairfax Ice Arena
36,37,39.664541,-75.750463,0 days 22:39:38.806000,ChIJH11Ughaqx4kRr9KBDVM49Mg,"['ice_skating_rink', 'sports_complex', 'sports_activity_location', 'point_of_interest', 'establishment']","549 S College Ave, Newark, DE 19716, USA",Fred Rust Ice Arena
37,38,39.734053,-76.03931,0 days 01:50:08.648000,ChIJY3BCKk20x4kRW9hM1gzGzpc,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","150 Park Rd, Nottingham, PA 19362, USA",Nottingham County Park
38,39,39.683578,-75.74798,0 days 01:01:51.452000,ChIJOW7lhzqqx4kRh4dq0iyVZzA,"['vegan_restaurant', 'american_restaurant', 'vegetarian_restaurant', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']","126 E Main St, Newark, DE 19711, USA",Home Grown Cafe
39,40,38.039382,-78.507636,0 days 00:54:28.225000,ChIJYTDJR06Gs4kReZtbk-Cu94I,"['university', 'point_of_interest', 'establishment']","Sprigg Ln, Charlottesville, VA 22903, USA",International Residential College
40,41,38.03965,-78.486291,0 days 12:37:55.726000,ChIJn0ycczKGs4kRyUYfqD0OeOk,"['school', 'point_of_interest', 'establishment']","901 Rose Hill Dr, Charlottesville, VA 22903, USA",Jackson P Burley Middle School
