,latitude,longitude,start_time,end_time,duration_time,cluster
41,38.035801,-78.498403,2025-02-18 16:59:26.999000-05:00,2025-02-18 20:06:11.610000-05:00,0 days 03:06:44.611000,13
42,38.028028,-78.508516,2025-02-18 20:10:41.998000-05:00,2025-02-19 12:36:39.267000-05:00,0 days 16:25:57.269000,0
43,38.028028,-78.508516,2025-02-20 13:57:43.985000-05:00,2025-02-20 15:29:42.016000-05:00,0 days 01:31:58.031000,0
44,38.033553,-78.507977,2025-02-20 15:29:42.016000-05:00,2025-02-20 15:33:41.999000-05:00,0 days 00:03:59.983000,10
45,38.127095,-78.444288,2025-02-20 15:56:26.999000-05:00,2025-02-20 16:26:18.363000-05:00,0 days 00:29:51.364000,3
46,38.129001,-78.440783,2025-02-20 15:56:26.999000-05:00,2025-02-20 16:12:17.692000-05:00,0 days 00:15:50.693000,4
47,38.099505,-78.4658,2025-02-20 16:33:05-05:00,2025-02-20 16:47:19.999000-05:00,0 days 00:14:14.999000,9
48,38.09748,-78.467202,2025-02-20 16:47:44.998000-05:00,2025-02-20 17:05:33.573000-05:00,0 days 00:17:48.575000,-1
49,38.028028,-78.508516,2025-02-20 17:20:35.999000-05:00,2025-02-21 12:51:27.123000-05:00,0 days 19:30:51.124000,0
50,38.083603,-78.470805,2025-02-21 13:07:54.039000-05:00,2025-02-21 13:59:20-05:00,0 days 00:51:25.961000,14
51,38.083002,-78.470481,2025-02-21 13:09:52.998000-05:00,2025-02-21 13:59:20-05:00,0 days 00:49:27.002000,15
52,38.028028,-78.508516,2025-02-21 14:16:19.999000-05:00,2025-02-21 18:10:22.304000-05:00,0 days 03:54:02.305000,0
53,38.008758,-78.500588,2025-02-21 18:20:55.998000-05:00,2025-02-21 18:39:32.489000-05:00,0 days 00:18:36.491000,-1
54,38.028028,-78.508516,2025-02-21 18:49:38.999000-05:00,2025-02-22 12:12:22.561000-05:00,0 days 17:22:43.562000,0
55,38.043787,-78.512533,2025-02-22 12:16:35.998000-05:00,2025-02-22 13:48:38.080000-05:00,0 days 01:32:02.082000,16
56,38.04385,-78.512632,2025-02-22 12:18:49.999000-05:00,2025-02-22 12:30:42.491000-05:00,0 days 00:11:52.492000,16
57,38.028028,-78.508516,2025-02-22 13:50:35.997000-05:00,2025-02-22 17:16:16.516000-05:00,0 days 03:25:40.519000,0
58,38.028028,-78.508516,2025-02-22 17:33:21.937000-05:00,2025-02-22 20:16:35.671000-05:00,0 days 02:43:13.734000,0
59,38.052815,-78.501257,2025-02-22 20:20:51.999000-05:00,2025-02-22 21:18:19.788000-05:00,0 days 00:57:27.789000,2
60,38.050261,-78.502475,2025-02-22 20:20:51.999000-05:00,2025-02-22 21:18:19.788000-05:00,0 days 00:57:27.789000,12
61,38.028028,-78.508516,2025-02-22 21:24:40.999000-05:00,2025-02-23 11:42:04.266000-05:00,0 days 14:17:23.267000,0
62,38.028028,-78.508516,2025-02-23 11:58:51-05:00,2025-02-24 10:41:28.322000-05:00,0 days 22:42:37.322000,0
63,38.028028,-78.508516,2025-02-24 10:52:13.188000-05:00,2025-02-24 13:44:54.142000-05:00,0 days 02:52:40.954000,0
64,38.031619,-78.510846,2025-02-24 13:51:42.035000-05:00,2025-02-24 15:37:19.966000-05:00,0 days 01:45:37.931000,1
65,38.028028,-78.508516,2025-02-24 15:42:01.695000-05:00,2025-02-25 14:25:16.588000-05:00,0 days 22:43:14.893000,0
66,38.033553,-78.507977,2025-02-25 17:14:18.998000-05:00,2025-02-25 19:24:38.032000-05:00,0 days 02:10:19.034000,10
67,38.033553,-78.507977,2025-02-25 19:31:11-05:00,2025-02-26 13:24:26.907000-05:00,0 days 17:53:15.907000,10
68,38.028028,-78.508516,2025-02-26 13:24:26.907000-05:00,2025-02-26 15:37:09.044000-05:00,0 days 02:12:42.137000,0
69,38.033553,-78.507977,2025-02-26 15:39:45.023000-05:00,2025-02-26 16:02:46.994000-05:00,0 days 00:23:01.971000,10
70,38.036351,-78.50731,2025-02-26 15:39:45.023000-05:00,2025-02-26 16:02:46.994000-05:00,0 days 00:23:01.971000,-1
71,38.028028,-78.508516,2025-02-26 16:17:23.999000-05:00,2025-02-27 08:45:01.011000-05:00,0 days 16:27:37.012000,0
72,38.083603,-78.470805,2025-02-27 09:01:46.999000-05:00,2025-02-27 09:50:22.058000-05:00,0 days 00:48:35.059000,14
73,38.083002,-78.470481,2025-02-27 09:01:46.999000-05:00,2025-02-27 09:50:22.058000-05:00,0 days 00:48:35.059000,15
74,38.028028,-78.508516,2025-02-27 10:03:43.999000-05:00,2025-02-27 10:07:11.998000-05:00,0 days 00:03:27.999000,0
75,38.127095,-78.444288,2025-02-27 10:23:44.998000-05:00,2025-02-27 10:34:42.489000-05:00,0 days 00:10:57.491000,3
76,38.129001,-78.440783,2025-02-27 10:23:44.998000-05:00,2025-02-27 10:34:42.489000-05:00,0 days 00:10:57.491000,4
77,38.052815,-78.501257,2025-02-27 10:53:14.998000-05:00,2025-02-27 12:12:05.079000-05:00,0 days 01:18:50.081000,2
78,38.051406,-78.503118,2025-02-27 10:53:55-05:00,2025-02-27 11:28:55.186000-05:00,0 days 00:35:00.186000,-1
79,38.053566,-78.500689,2025-02-27 11:31:10.170000-05:00,2025-02-27 12:12:05.079000-05:00,0 days 00:40:54.909000,-1
80,38.033553,-78.507977,2025-02-27 12:21:32.999000-05:00,2025-02-27 12:26:57.998000-05:00,0 days 00:05:24.999000,10
81,38.028028,-78.508516,2025-02-27 12:29:21.999000-05:00,2025-02-27 13:56:25.998000-05:00,0 days 01:27:03.999000,0
82,38.052815,-78.501257,2025-02-27 14:21:56.999000-05:00,2025-02-27 14:31:12.999000-05:00,0 days 00:09:16,2
83,38.050261,-78.502475,2025-02-27 14:24:31.999000-05:00,2025-02-27 14:30:12-05:00,0 days 00:05:40.001000,12
84,38.028028,-78.508516,2025-02-27 14:40:12.999000-05:00,2025-02-27 17:01:54.999000-05:00,0 days 02:21:42,0
85,36.79419,-76.122754,2025-02-27 19:43:21.999000-05:00,2025-02-27 19:54:28.999000-05:00,0 days 00:11:07,17
86,36.75324,-76.124588,2025-02-27 20:07:32.999000-05:00,2025-02-28 10:45:14.096000-05:00,0 days 14:37:41.097000,18
87,36.867928,-76.224766,2025-02-28 17:22:03.999000-05:00,2025-02-28 17:30:01.303000-05:00,0 days 00:07:57.304000,19
88,36.855543,-76.214194,2025-02-28 17:37:20.308000-05:00,2025-02-28 19:04:00.245000-05:00,0 days 01:26:39.937000,-1
89,36.867928,-76.224766,2025-02-28 19:09:49.999000-05:00,2025-02-28 19:15:38.998000-05:00,0 days 00:05:48.999000,19
90,36.852332,-76.198753,2025-02-28 19:24:08.998000-05:00,2025-02-28 19:53:05.294000-05:00,0 days 00:28:56.296000,20
91,36.75324,-76.124588,2025-02-28 20:27:19-05:00,2025-03-01 11:12:44.753000-05:00,0 days 14:45:25.753000,18
92,36.79419,-76.122754,2025-03-01 11:21:18-05:00,2025-03-01 11:56:28.820000-05:00,0 days 00:35:10.820000,17
93,36.75324,-76.124588,2025-03-01 12:11:49.998000-05:00,2025-03-01 20:06:25.308000-05:00,0 days 07:54:35.310000,18
94,36.911924,-76.067105,2025-03-01 20:34:21.335000-05:00,2025-03-01 21:10:59.595000-05:00,0 days 00:36:38.260000,21
95,36.91181,-76.067579,2025-03-01 20:34:21.335000-05:00,2025-03-01 20:53:35.008000-05:00,0 days 00:19:13.673000,21
96,36.751496,-76.127067,2025-03-01 21:37:03.999000-05:00,2025-03-01 21:41:21.999000-05:00,0 days 00:04:18,-1
97,36.75324,-76.124588,2025-03-01 21:41:21.999000-05:00,2025-03-02 12:25:27.803000-05:00,0 days 14:44:05.804000,18
98,36.852332,-76.198753,2025-03-02 15:15:37.999000-05:00,2025-03-02 15:20:14.999000-05:00,0 days 00:04:37,20
99,36.850839,-76.199603,2025-03-02 15:15:37.999000-05:00,2025-03-02 15:20:14.999000-05:00,0 days 00:04:37,-1
100,38.011213,-78.499139,2025-03-02 17:38:15.999000-05:00,2025-03-02 17:52:02.743000-05:00,0 days 00:13:46.744000,22
101,38.028028,-78.508516,2025-03-02 17:57:16.999000-05:00,2025-03-03 12:15:57.439000-05:00,0 days 18:18:40.440000,0
102,38.031619,-78.510846,2025-03-03 12:21:28.999000-05:00,2025-03-03 13:52:01.246000-05:00,0 days 01:30:32.247000,1
103,38.031619,-78.510846,2025-03-03 12:21:28.999000-05:00,2025-03-03 12:34:41.983000-05:00,0 days 00:13:12.984000,1
104,38.028028,-78.508516,2025-03-03 13:58:52.648000-05:00,2025-03-04 14:56:33.999000-05:00,1 days 00:57:41.351000,0
105,38.028028,-78.508516,2025-03-04 15:37:16.539000-05:00,2025-03-05 18:49:29.075000-05:00,1 days 03:12:12.536000,0
106,38.011213,-78.499139,2025-03-05 19:02:13.999000-05:00,2025-03-05 20:24:41.999000-05:00,0 days 01:22:28,22
107,38.011919,-78.499495,2025-03-05 19:02:13.999000-05:00,2025-03-05 19:18:59.955000-05:00,0 days 00:16:45.956000,-1
108,38.028028,-78.508516,2025-03-05 20:30:23.998000-05:00,2025-03-05 21:36:47.257000-05:00,0 days 01:06:23.259000,0
109,38.035801,-78.498403,2025-03-05 21:44:26.999000-05:00,2025-03-05 21:47:07.999000-05:00,0 days 00:02:41,13
110,38.028028,-78.508516,2025-03-05 21:50:41.999000-05:00,2025-03-06 10:48:03.743000-05:00,0 days 12:57:21.744000,0
111,38.031619,-78.510846,2025-03-06 10:53:35.778000-05:00,2025-03-06 12:27:13-05:00,0 days 01:33:37.222000,1
112,38.028028,-78.508516,2025-03-06 12:30:36.818000-05:00,2025-03-06 13:39:05.831000-05:00,0 days 01:08:29.013000,0
113,38.011213,-78.499139,2025-03-06 13:52:38.999000-05:00,2025-03-06 14:07:27.329000-05:00,0 days 00:14:48.330000,22
114,38.127095,-78.444288,2025-03-06 14:40:18-05:00,2025-03-06 14:48:56.999000-05:00,0 days 00:08:38.999000,3
115,38.129001,-78.440783,2025-03-06 14:40:18-05:00,2025-03-06 14:48:56.999000-05:00,0 days 00:08:38.999000,4
116,38.028028,-78.508516,2025-03-06 15:09:45.999000-05:00,2025-03-06 15:26:37.598000-05:00,0 days 00:16:51.599000,0
117,38.802103,-77.061438,2025-03-07 14:57:42-05:00,2025-03-07 15:56:54.186000-05:00,0 days 00:59:12.186000,23
118,38.80208,-77.061571,2025-03-07 14:58:08.999000-05:00,2025-03-07 15:52:31.659000-05:00,0 days 00:54:22.660000,23
